日付,プレーヤー,分類,タイトル,出典,要約,本文,リンク
2026-05-13,OpenAI / xAI,競合・裁判,OpenAI vs マスク裁判 — サム・アルトマン証言、結審は今週木曜,NPR,マスクが「OpenAIは非営利慈善団体の資産を横領した」と訴える裁判で、5月12日にアルトマンCEOが証言に立った。閉廷論は木曜日に予定されている。,マスクが「OpenAIは非営利慈善団体の資産を横領した」と訴える裁判で、5月12日にアルトマンCEOが証言に立った。マスク側は設立趣旨書と内部メールを根拠に訴えを展開しており、閉廷論は木曜日に予定されている。マスク自身が法廷でxAIによるOpenAIモデルの蒸留利用を認めるなど双方に不利な証言が続出。OpenAIの事業構造が司法判断で変わる可能性があり、日本企業のOpenAI API依存戦略を中長期的に見直す必要が生じうる。,https://www.npr.org/2026/05/12/nx-s1-5811730/openai-sam-altman-testimony-elon-musk-trial
2026-05-13,xAI・SpaceX,提携,xAI、SpaceXに完全吸収 — 新ブランド「SpaceXAI」誕生,Not a Tesla App,イーロン・マスクが5月11日、xAIを独立法人として解散しSpaceXの新部門「SpaceXAI」として統合すると発表した。,イーロン・マスクが5月11日、xAIを独立法人として解散しSpaceXの新部門「SpaceXAI」として統合すると発表した。GrokおよびXプラットフォームのAI機能はSpaceXAIブランドの下で継続され、SpaceXのロケット・衛星インフラとAIの垂直統合が進む。Grokの開発・API提供主体が変わるため、xAI製品を組み込んでいる日本企業は契約・利用規約の変更リスクへの注意が必要だ。,https://www.notateslaapp.com/news/4116/elon-musk-announces-xai-will-dissolve-form-spacexai-subdivision
2026-05-13,Anthropic,資金調達,Anthropic、評価額1兆ドル迫る — 年換算売上高450億ドル突破へ,Yahoo Finance,AnthropicのARRが450億ドルを突破する見通しとなり、企業評価額が1兆ドルに迫っていると報道されている。,AnthropicのARRが450億ドルを突破する見通しとなり、企業評価額が1兆ドルに迫っていると複数メディアが報道している。年初のARRは90億ドルだったため半年で5倍の成長を達成した計算になり、Google Cloudおよびスペース×コンピュート契約が急拡大の主因とされる。AnthropicのClaudeが企業向けAIの主流となりつつあり、日本企業もOpenAIとAnthropicの2択を迫られる局面が加速する。,https://finance.yahoo.com/video/anthropic-nears-1t-valuation-as-revenue-surges-202117590.html
2026-05-13,Anthropic / SpaceX,提携,Anthropic × SpaceX、大型コンピュート提携 — Claude利用上限を大幅引き上げ,Releasebot - Anthropic Updates,AnthropicとSpaceXが大規模コンピュート供給契約を締結し、Claude APIの全プランで利用上限が2倍に引き上げられた。,AnthropicとSpaceXが大規模コンピュート供給契約を締結し、Claude Code・Claude APIのPro/Max/Team/Enterprise全プランで利用上限が2倍に引き上げられた。ピーク時間帯の制限も撤廃され、Opus APIの上限も大幅に拡大されている。Claude APIを活用する日本のSIer・スタートアップにとって上限緩和はプロダクト本番展開を加速させる追い風となる。,https://releasebot.io/updates/anthropic
2026-05-13,Google・DeepMind,リリース,Google、Android Show開催 — Gemini搭載「Googlebooks」発表・I/Oは5月19日,Engadget,5月12日のAndroid ShowでGoogleはGemini AI搭載の新カテゴリPC「Googlebooks」を発表。来週5月19日のGoogle I/Oでさらなる全貌が公開される予定。,5月12日開催のAndroid ShowでGoogleはGemini AIを中核に据えた新カテゴリ「Googlebooks」ノートPC（Acer・ASUS・Lenovo製）を発表した。AIが画面コンテキストを自動認識してアクションを提案する「Magic Pointer」機能が目玉で、来週5月19日のGoogle I/Oでさらなる全貌（Gemini 4含む）が公開される予定だ。Gemini搭載デバイスの普及により日本の法人PC調達でAI機能が選定基準の上位に浮上し、Microsoft Copilot PCとの競争が激化する見込み。,https://www.engadget.com/2171038/everything-announced-at-android-show-google-io-2026/
2026-05-14,Anthropic,資金調達,"Anthropic、評価額9,000億ドルで300億ドル調達交渉中",Bloomberg,"Anthropicが300億ドルの新規資金調達を交渉中で、評価額は9,000億ドルに達する見通し。","Anthropicが300億ドルの新規資金調達に向けて投資家と協議中で、評価額は9,000億ドルに達する見込みだと報道された。年間経常収益（ARR）はすでに300億ドルを超え、今月末にもクローズする可能性がある。Claude APIを活用した企業向けソリューションが収益を牽引しており、日本市場でもAWS経由の展開強化でOpenAIと並ぶ企業AIプラットフォームとしての採用が加速するとみられる。",https://www.bloomberg.com/news/articles/2026-05-12/anthropic-in-talks-to-raise-30-billion-at-900-billion-valuation
2026-05-14,xAI・SpaceX,提携,"xAI解散、SpaceXの「SpaceXAI」部門として統合へ",Not a Tesla App,"イーロン・マスクがxAIを独立法人として解散しSpaceXのAI部門「SpaceXAI」として再編すると発表。","イーロン・マスクがxAIを独立法人として解散しSpaceXのAI部門「SpaceXAI」として再編すると発表。GrokおよびXプラットフォームのAI機能はすべてSpaceXAIブランドの下に統合され、SpaceXのロケット・衛星インフラとAIの垂直統合が進む。Grok APIや関連サービスを利用している日本企業は、契約主体・利用規約・APIエンドポイントの変更リスクに備え、ベンダー変更計画を検討する必要がある。",https://www.notateslaapp.com/news/4116/elon-musk-announces-xai-will-dissolve-form-spacexai-subdivision
2026-05-14,OpenAI,リリース,"OpenAI、140億ドル評価のコンサルティング子会社「DeployCo」設立",Axios,"OpenAIが企業のAI活用を支援するコンサルティング会社「DeployCo」を設立し、プライベートエクイティ資金で140億ドル評価で事業開始。","OpenAIが企業のAI活用を支援するコンサルティング・実装サービス会社「OpenAI Deployment Company（DeployCo）」を設立。プライベートエクイティの資金を背景に140億ドル規模の評価額で事業を開始した。大企業向けにOpenAI製品の導入・内製化を支援するサービスが拡充されることで、日本の大手企業がOpenAIをシステムインテグレーターとして直接活用するパスが広がる。",https://www.axios.com/2026/05/11/openai-deployco-private-equity
2026-05-14,Google・DeepMind,リリース,"Google DeepMind、GeminiベースのAIマウスポインター「Magic Pointer」とDeep Research Max発表",DeepMind Blog,"GeminiでAI対応マウスポインター「Magic Pointer」を発表、同時に自律型リサーチエージェント「Deep Research Max」も公開。","Google DeepMindがGeminiで動作するAI対応マウスポインター「Magic Pointer」を発表。画面上の要素を意味的に理解しノープロンプトでコンテキストを把握する機能をChromeおよびGooglebooksに統合。合わせてGemini 3.1 Proを搭載した自律型リサーチエージェント「Deep Research Max」も公開された。Google Workspaceを業務基盤とする日本企業の情報収集・分析業務が大幅に効率化されることが期待される。",https://deepmind.google/blog/ai-pointer/
2026-05-14,その他,規制,"EU、AI法規制を簡素化・合理化する暫定合意に到達",EU Council,"EU理事会と欧州議会が、2026年8月施行予定のAI法（高リスクAIシステム条項）の規制要件を簡素化・合理化する暫定合意に達した。","EU理事会と欧州議会が、2026年8月施行予定のAI法（高リスクAIシステム条項）を前に規制要件を簡素化・合理化する暫定合意に達した。過重な規制コストを軽減しながら安全性を担保する方向性が確認された。EU市場向けにAI製品・サービスを展開する日本企業にとってコンプライアンスコストが低減し、欧州展開の障壁が下がることが見込まれる。",https://www.consilium.europa.eu/en/press/press-releases/2026/05/07/artificial-intelligence-council-and-parliament-agree-to-simplify-and-streamline-rules/
